rebalance_date,quarter_key,code,avg_traded_amount_lookback,avg_traded_volume_lookback,market_cap,circulating_market_cap,turnover_ratio
2021-04-30,2021q1,601577.XSHG,146375503.931500,19072129.150000,362.342,89.6795,2.7231
2021-04-30,2021q1,601818.XSHG,446908746.142000,155845950.250000,2042.4063,1563.1501,0.4049
2021-04-30,2021q1,601838.XSHG,248744180.733500,28476182.400000,430.9416,429.4454,1.5656
2021-04-30,2021q1,601939.XSHG,564413112.288500,106074124.400000,16825.7388,645.6532,2.0663
2021-04-30,2021q1,603323.XSHG,45395206.651000,12896673.150000,80.7775,64.5116,1.2071
2021-08-31,2021q2,000001.XSHE,1774242627.653500,115134332.600000,3454.2534,3454.2243,0.6054
2021-08-31,2021q2,002142.XSHE,1264372573.852500,42937383.000000,1940.5893,1914.8272,0.6085
2021-08-31,2021q2,002807.XSHE,33679448.176000,12369627.000000,82.5362,82.4385,0.5591
2021-08-31,2021q2,002839.XSHE,192525546.013000,49967660.950000,103.2344,82.2217,1.3967
2021-08-31,2021q2,002936.XSHE,35209246.971500,12476142.550000,256.9831,75.2319,0.516
2021-08-31,2021q2,002958.XSHE,61651188.650500,17424763.700000,217.2237,105.3945,0.6622
2021-08-31,2021q2,002966.XSHE,121503854.782500,23911002.450000,227.0,110.6514,1.0183
2021-08-31,2021q2,600000.XSHG,313624615.609500,40323861.700000,2656.3705,2656.3705,0.1521
2021-08-31,2021q2,600016.XSHG,231102161.480500,73815522.000000,1738.162,1407.8463,0.2197
2021-08-31,2021q2,600036.XSHG,3124197554.634000,77838883.150000,12347.6364,10099.9312,0.3444
2021-08-31,2021q2,600908.XSHG,102284456.065500,20972272.000000,105.5567,98.4865,0.9984
2021-08-31,2021q2,600919.XSHG,662531936.016000,131470842.400000,949.6869,943.9153,0.7892
2021-08-31,2021q2,600928.XSHG,30763332.221500,8059643.000000,194.2222,50.5013,0.8042
