factor_name,factor_family,layer,direction,target_label,train_rank_ic_mean,test_rank_ic_mean,train_positive_ic_ratio,test_positive_ic_ratio,train_top_minus_bottom,test_top_minus_bottom,keep_flag,keep_reason,priority_score,fold_id,train_anchor_years
derived__log_total_assets,derived,base_core,larger_better,y_quarter_avg_daily_return_close,0.112759,0.127096,0.678571,0.666667,0.00058363,0.00039145,1,pass_train_ic_and_test_ic_positive_ratio_and_structure|selected_after_layer_caps,133.763061,expanding_05,9
bank_indicator__Nonperforming_loan_rate,bank_indicator,base_core,smaller_better,y_year_avg_daily_return_close,0.117665,-0.041602,0.655172,0.4,0.00021195,-2.407e-05,0,fail_threshold_rule,-37.602024,expanding_05,9
bank_indicator__non_performing_loan_provision_coverage,bank_indicator,base_core,larger_better,y_year_avg_daily_return_close,0.071226,0.052879,0.517241,0.6,4.463e-05,-9.666e-05,1,pass_train_ic_and_test_ic_positive_ratio_and_structure|selected_after_layer_caps,58.878903,expanding_05,9
bank_indicator__deposit_loan_ratio,bank_indicator,base_core,smaller_better,y_year_avg_daily_return_close,0.157623,0.155106,0.793103,0.8,0.00022378,3.292e-05,1,pass_train_ic_and_test_ic_positive_ratio_and_structure|selected_after_layer_caps,163.106033,expanding_05,9
bank_indicator__capital_adequacy_ratio,bank_indicator,base_core,larger_better,y_year_avg_daily_return_close,0.17026,0.372807,0.689655,1.0,0.0002861,0.00053588,1,pass_train_ic_and_test_ic_positive_ratio_and_structure|selected_after_layer_caps,382.807536,expanding_05,9
improve__annual_delta__bank_indicator__Nonperforming_loan_rate,improvement_bank_indicator,improvement_layer,smaller_better,y_year_avg_daily_return_close,0.082282,0.090274,0.692308,0.6,0.00010666,6.119e-05,0,pass_train_ic_and_test_ic_positive_ratio_and_structure|dropped_by_layer_caps,96.274061,expanding_05,9
improve__snapshot_delta__derived__investment_income_to_operating_revenue,improvement_derived,improvement_layer,smaller_better,y_quarter_avg_daily_return_close,0.050349,-0.039755,0.518519,0.5,0.00018811,-0.0001749,0,fail_threshold_rule,-34.755175,expanding_05,9
bank_indicator__non_interest_income_ratio,bank_indicator,watch_layer,larger_better,y_year_avg_daily_return_close,-0.015139,-0.017239,0.517241,0.2,-2.005e-05,-0.00014706,0,fail_threshold_rule,-15.239147,expanding_05,9
bank_indicator__net_interest_margin,bank_indicator,watch_layer,larger_better,y_year_avg_daily_return_close,0.020067,-0.289201,0.551724,0.0,1.87e-06,-0.00021719,0,fail_threshold_rule,-289.201217,expanding_05,9
indicator__inc_net_profit_to_shareholders_annual,indicator,watch_layer,larger_better,y_quarter_avg_daily_return_close,0.034178,-0.007345,0.607143,0.666667,-6.429e-05,-2.427e-05,0,fail_threshold_rule,-0.678354,expanding_05,9
bank_indicator__cost_to_income_ratio,bank_indicator,watch_layer,smaller_better,y_year_avg_daily_return_close,0.013324,0.158654,0.482759,0.8,2.585e-05,0.00034892,1,pass_train_ic_and_test_ic_positive_ratio_and_structure|selected_after_layer_caps,166.654349,expanding_05,9
bank_indicator__core_level_capital_adequacy_ratio,bank_indicator,watch_layer,larger_better,y_year_avg_daily_return_close,0.093597,0.350831,0.586207,1.0,0.00012517,0.0004436,1,pass_train_ic_and_test_ic_positive_ratio_and_structure|selected_after_layer_caps,360.831444,expanding_05,9
derived__investment_income_to_operating_revenue,derived,watch_layer,larger_better,y_quarter_avg_daily_return_close,-0.017128,-0.140878,0.428571,0.5,5.57e-06,-0.00075729,0,fail_threshold_rule,-135.878757,expanding_05,9
improve__annual_delta__bank_indicator__capital_adequacy_ratio,improvement_bank_indicator,improvement_layer,smaller_better,y_year_avg_daily_return_close,0.130882,-0.209582,0.615385,0.4,0.00015316,-0.00029799,0,fail_threshold_rule,-205.582298,expanding_05,9
improve__season_yoy_delta__derived__staff_cash_to_operating_revenue,improvement_derived,improvement_layer,smaller_better,y_quarter_avg_daily_return_close,0.037468,0.114095,0.5,0.666667,0.00023346,0.0002089,1,pass_train_ic_and_test_ic_positive_ratio_and_structure|selected_after_layer_caps,120.761879,expanding_05,9
improve__snapshot_delta__indicator__inc_net_profit_to_shareholders_annual,improvement_indicator,improvement_layer,smaller_better,y_quarter_avg_daily_return_close,0.030264,0.131657,0.518519,0.833333,0.00010982,0.00014405,1,pass_train_ic_and_test_ic_positive_ratio_and_structure|selected_after_layer_caps,139.990474,expanding_05,9
improve__snapshot_delta__indicator__eps,improvement_indicator,improvement_layer,smaller_better,y_quarter_avg_daily_return_close,0.025093,0.10019,0.62963,0.666667,0.00017379,0.00038742,0,pass_train_ic_and_test_ic_positive_ratio_and_structure|dropped_by_layer_caps,106.857057,expanding_05,9
