date,line,nav
2025-03-17,benchmark,1.2803
2025-03-18,benchmark,1.2787
2025-03-19,benchmark,1.2959
2025-03-20,benchmark,1.2879
2025-03-21,benchmark,1.2785
2025-03-24,benchmark,1.2919
2025-03-25,benchmark,1.3028
2025-03-26,benchmark,1.2912
2025-03-27,benchmark,1.295
2025-03-28,benchmark,1.2922
2025-03-31,benchmark,1.3083
2025-04-01,benchmark,1.2981
2025-04-02,benchmark,1.312
2025-04-03,benchmark,1.322
2025-04-07,benchmark,1.2757
2025-04-08,benchmark,1.2911
2025-04-09,benchmark,1.2793
2025-04-10,benchmark,1.2811
2025-04-11,benchmark,1.2911
2025-04-14,benchmark,1.3061
2025-04-15,benchmark,1.3286
2025-04-16,benchmark,1.3425
2025-04-17,benchmark,1.3412
2025-04-18,benchmark,1.3540999999999999
2025-04-21,benchmark,1.339
2025-04-22,benchmark,1.3514
2025-04-23,benchmark,1.3439
2025-04-24,benchmark,1.3655
2025-04-25,benchmark,1.3637
2025-04-28,benchmark,1.3784
2025-04-29,benchmark,1.3748
2025-04-30,benchmark,1.3383
2025-05-06,benchmark,1.3317
2025-05-07,benchmark,1.3553
2025-05-08,benchmark,1.3629
2025-05-09,benchmark,1.3786
2025-05-12,benchmark,1.379
2025-05-13,benchmark,1.3945
2025-05-14,benchmark,1.4015
2025-05-15,benchmark,1.4028
2025-05-16,benchmark,1.3888
2025-05-19,benchmark,1.3859
2025-05-20,benchmark,1.3906
2025-05-21,benchmark,1.3944
2025-05-22,benchmark,1.4055
2025-05-23,benchmark,1.3914
2025-05-26,benchmark,1.3786
2025-05-27,benchmark,1.3811
2025-05-28,benchmark,1.3737
2025-05-29,benchmark,1.3673
2025-05-30,benchmark,1.3756
2025-06-03,benchmark,1.3976
2025-06-04,benchmark,1.3939
2025-06-05,benchmark,1.3865
2025-06-06,benchmark,1.3878
2025-06-09,benchmark,1.3872
2025-06-10,benchmark,1.3916
2025-06-11,benchmark,1.3914
2025-06-12,benchmark,1.3896
2025-06-13,benchmark,1.3781
2025-06-16,benchmark,1.3926
2025-06-17,benchmark,1.3911
2025-06-18,benchmark,1.4086
2025-06-19,benchmark,1.4104999999999999
2025-06-20,benchmark,1.4235
2025-06-23,benchmark,1.4477
2025-06-24,benchmark,1.4589
2025-06-25,benchmark,1.4691
2025-06-26,benchmark,1.4788000000000001
2025-06-27,benchmark,1.4325
2025-06-30,benchmark,1.4325
2025-07-01,benchmark,1.4534
2025-07-02,benchmark,1.4554
2025-07-03,benchmark,1.4485000000000001
2025-07-04,benchmark,1.4707
2025-07-07,benchmark,1.4726
2025-07-08,benchmark,1.4749
2025-07-09,benchmark,1.4887
2025-07-10,benchmark,1.504
2025-07-11,benchmark,1.4819
2025-07-14,benchmark,1.4921
2025-07-15,benchmark,1.4807000000000001
2025-07-16,benchmark,1.475
2025-07-17,benchmark,1.4655
2025-07-18,benchmark,1.4725
2025-07-21,benchmark,1.4626
2025-07-22,benchmark,1.4452
2025-07-23,benchmark,1.456
2025-07-24,benchmark,1.4381
2025-07-25,benchmark,1.4338
2025-07-28,benchmark,1.435
2025-07-29,benchmark,1.421
2025-07-30,benchmark,1.4346999999999999
2025-07-31,benchmark,1.4407999999999999
2025-08-01,benchmark,1.4378
2025-08-04,benchmark,1.4546999999999999
2025-08-05,benchmark,1.4727999999999999
2025-08-06,benchmark,1.4744
2025-08-07,benchmark,1.4859
2025-08-08,benchmark,1.48
2025-08-11,benchmark,1.4667
2025-08-12,benchmark,1.4747999999999999
2025-08-13,benchmark,1.4621
2025-08-14,benchmark,1.4671
2025-08-15,benchmark,1.4434
2025-08-18,benchmark,1.4462
2025-08-19,benchmark,1.4575
2025-08-20,benchmark,1.4657
2025-08-21,benchmark,1.4773
2025-08-22,benchmark,1.4752
2025-08-25,benchmark,1.4790999999999999
2025-08-26,benchmark,1.4732
2025-08-27,benchmark,1.4412
2025-08-28,benchmark,1.4371
2025-08-29,benchmark,1.434
